,city,meal_cheap,meal_mid,meal_mcd,r_beer_dom,r_beer_imp,r_cappuccino,r_coke,r_water,milk_1L,bread_white,rice_1kg,eggs_doz,cheese_local_1kg,chicken_fillet_1kg,beef_round_1kg,apple_1kg,banana_1kg,orange_1kg,tomato_1kg,potato_1kg,onion_1kg,lettuce,water_1.5L,winebottle_mid,beer_dom,beer_imp,cigarettes_20,ticket,ticket_month,taxi_start,taxi_1km,taxi_1hrwait,gas_1L,vw_golf,toyota_corolla,basic,mobile_1min,internet,gym_month,tennis_rent,cinema,preschool,primary_school,jeans,summer_dress,shoes_running,shoes_business,bed1_centre,bed1_out,bed3_centre,bed3_out,buy_centre,buy_out,salary,mortgage,data_quality,lat,lng,province,population
10,Victoria,25.57,92.05,12.27,8.18,8.18,5.15,2.73,2.44,3.44,3.70,4.86,4.98,16.84,17.64,18.56,5.04,1.75,5.35,6.60,3.68,3.41,3.48,2.59,19.43,3.46,3.77,17.39,2.55,86.94,3.75,2.61,42.61,2.19,32729.17,26733.08,134.47,0.25,96.86,70.09,16.05,15.29,1261.43,17878.31,83.02,43.53,110.76,146.35,2054.64,1664.36,3477.48,2842.88,10570.39,7588.08,4859.33,6.02,1,48.4283,-123.3647,British Columbia,91867
11,Mississauga,15.35,81.82,12.27,6.65,7.16,4.66,1.95,1.59,2.47,2.94,2.98,4.13,13.43,12.68,15.36,4.08,1.44,3.52,4.33,3.56,2.97,2.87,1.53,14.99,2.70,3.06,15.35,3.84,147.80,4.35,2.55,35.80,1.92,27240.90,25851.95,172.90,0.94,76.34,58.17,34.78,13.68,1616.01,36820.32,66.38,54.98,130.58,142.62,2167.03,1913.41,3300.45,2859.87,9956.33,7748.22,4710.34,6.51,1,43.6,-79.65,Ontario,717961
12,Hamilton,19.43,84.37,12.27,7.16,7.67,4.73,2.57,1.77,2.24,3.42,5.70,4.11,19.26,17.65,18.69,5.92,2.06,4.86,5.16,2.32,3.22,2.70,2.91,15.35,2.64,3.62,14.72,3.33,112.51,4.50,1.84,35.51,1.96,28740.31,27069.75,214.13,0.29,84.75,56.62,27.27,18.41,1159.16,15341.81,71.28,56.90,105.98,125.00,1646.69,1487.64,2618.33,2533.36,5928.15,5885.77,3886.59,6.38,1,43.2567,-79.8692,Ontario,569353
13,Brampton,15.35,92.05,10.23,6.90,7.16,3.60,2.29,1.35,2.29,2.65,2.43,3.09,20.45,11.69,18.02,4.31,1.99,4.72,4.11,2.43,1.79,2.51,1.81,15.35,2.55,2.55,16.57,4.08,122.74,5.12,2.04,25.57,2.04,26592.45,25620.80,328.84,0.41,79.20,41.79,26.43,15.35,1221.66,17387.38,54.32,43.40,87.33,82.39,1967.16,1566.92,2535.43,2293.63,8704.35,6686.00,4815.62,6.75,1,43.6833,-79.7667,Ontario,656480
14,Surrey,18.41,81.82,10.23,7.04,7.67,5.38,2.25,1.86,2.40,2.73,5.02,4.07,15.68,16.84,15.48,3.82,1.60,3.13,3.55,2.06,3.51,2.77,3.02,18.40,2.93,5.24,18.41,3.35,122.74,3.42,2.01,36.24,2.15,25569.66,24401.99,231.95,0.37,92.69,43.83,33.24,15.86,1252.92,3579.75,60.64,48.45,111.42,144.90,1733.06,1408.66,3298.49,2403.55,12477.08,7706.43,5244.48,7.34,1,49.19,-122.8489,British Columbia,568322
15,Laval,18.81,71.59,15.35,3.06,6.14,4.61,2.30,1.41,2.37,2.93,3.04,3.23,15.55,14.16,16.33,3.67,2.00,3.12,4.18,2.54,2.87,2.94,2.42,17.13,4.08,3.33,13.29,3.57,92.56,3.99,3.06,34.78,1.99,23518.98,19893.20,109.74,0.29,61.88,25.16,24.55,13.04,301.72,6307.18,63.07,46.02,120.18,105.86,1176.20,869.37,1380.76,1738.73,6648.11,6016.03,3772.95,7.27,1,45.5833,-73.75,Quebec,438366
16,London,23.02,102.27,13.29,6.14,6.14,4.69,2.55,1.93,2.35,3.05,3.77,3.71,14.97,11.03,17.68,4.53,1.55,4.15,5.52,2.46,2.48,2.72,1.88,15.35,3.30,4.08,14.72,3.06,97.17,3.96,2.04,25.57,1.92,30683.60,25478.82,179.03,0.35,82.39,40.19,36.82,15.33,1329.62,24463.08,94.67,51.60,110.08,125.04,1860.35,1473.22,3532.65,2182.28,9800.29,4781.53,4755.89,6.25,1,42.9836,-81.2497,Ontario,422324
17,Markham,28.28,122.74,12.27,5.63,6.39,4.15,2.98,2.33,3.67,2.55,2.54,3.57,14.26,15.00,20.80,3.92,1.59,3.66,4.94,2.57,2.50,2.76,1.95,18.41,3.53,3.42,15.35,3.99,156.49,4.35,2.25,26.59,1.97,25569.66,25126.46,168.73,0.59,60.42,59.91,15.35,14.84,971.64,23882.07,72.33,51.14,121.45,148.17,2071.15,1815.45,3341.10,3068.36,15412.86,13211.02,4397.84,8.28,1,43.8767,-79.2633,Ontario,338503
18,St. Catharines,23.02,76.71,11.25,6.90,5.63,4.00,1.48,1.39,2.47,2.58,5.19,3.33,12.94,11.27,17.37,3.99,1.64,3.53,4.06,2.46,3.06,2.95,1.92,14.32,1.44,3.63,14.84,3.06,94.10,4.08,4.08,25.88,2.01,37843.11,27001.56,202.32,0.32,84.77,37.08,27.27,12.27,818.23,0.00,49.10,36.43,90.35,113.53,1602.08,1387.66,2198.99,2042.63,4577.18,6144.01,6221.95,8.63,1,43.1833,-79.2333,Ontario,136803
19,Vaughan,20.45,102.27,13.81,6.14,8.18,4.77,2.50,2.17,3.31,2.94,4.43,3.46,17.39,18.85,9.00,4.35,2.32,4.24,4.29,3.13,3.30,2.28,2.69,18.92,3.06,4.90,15.35,3.97,159.56,3.93,2.30,30.68,1.95,25058.27,28978.95,223.50,0.30,78.34,47.31,40.92,13.29,1534.17,24546.87,75.10,56.25,115.27,158.36,2352.40,1994.43,4091.15,3068.36,7159.51,5113.94,4602.53,6.73,1,43.8333,-79.5,Ontario,323103
