,city,meal_cheap,meal_mid,meal_mcd,r_beer_dom,r_beer_imp,r_cappuccino,r_coke,r_water,milk_1L,bread_white,rice_1kg,eggs_doz,cheese_local_1kg,chicken_fillet_1kg,beef_round_1kg,apple_1kg,banana_1kg,orange_1kg,tomato_1kg,potato_1kg,onion_1kg,lettuce,water_1.5L,winebottle_mid,beer_dom,beer_imp,cigarettes_20,ticket,ticket_month,taxi_start,taxi_1km,taxi_1hrwait,gas_1L,vw_golf,toyota_corolla,basic,mobile_1min,internet,gym_month,tennis_rent,cinema,preschool,primary_school,jeans,summer_dress,shoes_running,shoes_business,bed1_centre,bed1_out,bed3_centre,bed3_out,buy_centre,buy_out,salary,mortgage,data_quality,lat,lng,province,population
83,Penticton,18.41,74.15,10.23,6.14,8.18,4.79,2.07,2.04,2.54,2.83,2.04,4.28,20.45,14.03,19.94,2.99,1.06,4.02,4.02,2.79,1.01,2.88,2.43,15.08,3.28,3.06,15.35,2.30,0.00,3.74,1.92,33.75,2.10,25058.27,25399.20,197.23,0.46,73.90,67.33,12.96,15.35,1380.76,10227.87,75.82,61.16,119.66,166.03,1704.65,1363.72,2761.52,2454.69,7481.97,4402.03,0.00,9.43,0,49.4911,-119.5886,British Columbia,36885
84,Lloydminster,15.35,69.55,12.27,6.14,7.16,3.77,2.75,2.28,2.54,2.29,4.21,4.40,11.59,15.04,15.08,4.35,1.99,4.29,3.97,2.64,2.40,2.21,2.36,15.35,2.57,3.06,15.35,8.18,0.00,4.08,2.00,34.78,1.82,28638.02,28044.82,244.89,0.35,75.43,46.80,25.57,12.59,664.82,10892.67,66.47,57.85,106.11,130.41,767.09,767.09,1227.34,1227.34,0.00,0.00,0.00,5.67,0,53.2783,-110.005,Saskatchewan,31582
85,Orillia,18.41,153.41,13.81,7.16,9.20,5.80,3.75,2.22,3.71,3.23,4.89,3.06,0.00,17.51,0.00,6.47,1.32,5.35,5.48,5.70,4.17,3.85,3.57,13.81,0.00,0.00,13.29,2.66,0.00,3.45,1.71,34.78,2.06,51139.34,46025.40,282.54,0.00,115.92,103.56,71.59,15.35,900.05,0.00,67.84,55.57,136.37,167.05,1431.90,1150.63,2556.96,2352.40,0.00,0.00,0.00,0.00,0,44.6,-79.4167,Ontario,33411
86,Orangeville,51.14,127.84,20.45,5.22,0.00,5.12,1.53,1.79,2.35,3.75,3.35,6.14,17.94,13.63,0.00,2.94,2.55,4.35,5.45,2.90,2.80,3.06,1.53,0.00,0.00,0.00,16.88,2.04,86.94,5.12,1.28,0.00,2.06,0.00,0.00,281.27,0.51,85.23,61.37,0.00,10.23,1841.02,0.00,57.96,40.92,173.88,255.70,1589.75,0.00,2761.52,0.00,0.00,0.00,4909.38,0.00,0,43.9167,-80.1167,Ontario,30167
87,Fort Erie,15.35,81.82,9.98,6.14,7.16,4.35,1.92,1.59,2.47,2.73,2.98,3.56,13.43,12.68,15.36,4.08,1.44,3.52,4.33,1.13,2.97,2.87,1.53,14.99,2.70,3.06,11.41,3.57,76.71,3.57,2.55,35.80,2.06,27240.90,23524.09,152.19,0.94,76.34,66.47,30.68,13.29,818.23,36820.32,70.56,54.98,127.84,142.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.51,0,42.9167,-79.0167,Ontario,32901
88,Sept-Iles,21.47,98.19,14.84,0.00,0.00,0.00,0.00,2.04,3.02,4.14,9.63,4.50,16.67,21.47,29.66,7.76,2.32,9.03,6.33,3.35,3.92,3.22,3.06,21.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,134.66,0.32,81.48,0.00,0.00,8.18,0.00,0.00,61.37,0.00,143.19,0.00,1636.46,1534.17,2454.69,2045.57,0.00,0.00,0.00,0.00,0,50.2167,-66.3833,Quebec,24569
89,Courtenay,25.06,65.96,12.27,6.65,8.18,5.24,2.39,2.44,2.44,2.51,3.67,3.86,17.51,15.90,20.29,4.35,2.15,4.28,3.68,3.71,4.10,2.44,2.65,19.43,2.82,3.06,14.32,2.04,56.25,3.74,1.97,37.12,2.22,30683.60,22033.38,126.86,0.36,83.10,92.05,15.35,13.29,1462.58,3886.59,76.45,44.33,89.49,155.13,1457.47,1227.34,3034.26,2352.40,4954.13,3847.56,5151.39,5.15,0,49.6878,-124.9944,British Columbia,28420
90,Whitehorse,19.94,76.71,11.76,7.16,8.18,5.12,1.96,2.21,4.65,5.60,7.58,4.33,12.38,23.65,21.90,5.38,2.77,4.43,4.97,2.50,2.66,3.41,4.15,20.45,2.18,2.55,21.47,2.55,63.41,4.35,2.25,34.78,3.23,20455.73,27286.24,191.78,0.00,151.88,58.98,0.00,13.04,0.00,0.00,71.59,51.14,138.08,178.99,1534.17,1125.06,2250.13,2045.57,0.00,0.00,4522.76,12.08,0,60.7029,-135.0691,Yukon,28201
91,Fort Saskatchewan,40.92,71.59,11.51,8.18,8.18,5.80,3.13,2.39,3.41,3.75,6.29,4.61,14.32,13.98,12.78,5.77,2.82,6.44,4.90,5.45,3.75,3.27,3.33,25.57,2.10,4.61,20.45,2.55,0.00,3.57,3.20,51.14,1.68,28638.02,32729.17,135.45,0.00,98.53,55.92,0.00,16.37,1022.79,0.00,75.00,28.12,134.33,127.84,869.37,1022.79,1534.17,1713.17,0.00,0.00,5625.32,4.57,0,53.7128,-113.2133,Alberta,27088
92,Baie-Comeau,36.31,122.57,15.86,9.19,13.29,6.29,2.82,2.55,1.96,3.41,14.32,5.37,18.91,22.38,37.23,9.33,4.80,15.40,9.00,7.11,7.00,6.13,4.04,32.68,0.00,0.00,25.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,217.43,0.29,132.95,101.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3375.19,3170.63,4244.56,4040.01,0.00,0.00,2966.08,6.25,0,49.2167,-68.15,Quebec,20687
93,Fort St. John,19.43,58.82,11.25,7.67,8.69,5.12,2.37,2.21,2.98,2.90,5.00,3.41,9.20,12.27,25.57,5.56,0.90,5.82,5.73,4.61,3.15,2.55,4.61,20.45,0.00,0.00,16.88,2.04,81.82,2.82,1.53,34.78,1.82,32217.78,26592.45,107.45,0.33,94.94,74.66,0.00,16.88,511.39,0.00,48.58,49.29,81.82,173.67,988.69,1173.65,1815.45,2045.57,0.00,0.00,4674.13,7.55,0,56.2465,-120.8476,British Columbia,21465
94,Corner Brook,21.47,127.84,15.35,5.37,7.16,5.45,2.47,2.28,4.39,3.48,15.35,4.57,0.00,12.78,0.00,5.12,3.06,7.16,5.12,4.08,4.08,4.08,4.08,23.02,0.00,0.00,20.45,2.55,0.00,2.82,3.06,0.00,2.06,51139.34,25569.66,164.15,0.51,121.45,90.35,0.00,11.25,1073.93,0.00,85.23,35.80,145.49,150.01,818.23,613.67,0.00,0.00,0.00,0.00,1636.46,7.53,0,48.9287,-57.926,Newfoundland and Labrador,19333
95,Yellowknife,23.02,153.41,13.29,10.23,10.74,6.14,3.06,3.41,4.54,3.06,4.43,4.49,11.25,12.78,45.00,7.36,1.95,6.39,8.69,6.90,4.60,3.74,4.44,20.45,0.00,0.00,21.22,3.06,71.59,4.86,2.04,34.78,2.00,23012.70,24546.87,342.64,0.00,267.95,147.54,46.02,13.29,1150.63,0.00,68.19,47.73,160.23,166.21,1764.30,1572.54,2531.40,2582.53,0.00,0.00,6545.84,6.20,0,62.4709,-114.4053,Northwest Territories,20340
96,Squamish,18.41,81.82,10.23,8.18,8.96,3.96,2.07,1.52,2.54,4.22,5.12,4.72,14.32,19.31,19.94,4.25,5.02,6.31,5.85,3.60,2.99,3.60,2.79,17.39,4.35,5.88,16.37,2.17,0.00,3.48,1.92,34.78,2.10,20455.73,20455.73,204.56,0.21,95.80,73.64,26.59,15.35,1585.32,14830.40,95.37,62.39,122.48,150.60,2028.53,1721.69,3579.75,3272.92,0.00,9368.82,3068.36,9.43,0,49.7017,-123.1589,British Columbia,23819
97,Riviere-du-Loup,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.04,2.04,2.04,2.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.06,0.00,15.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81.82,0.00,71.59,0.00,8.18,10.23,0.00,0.00,92.05,102.27,81.82,117.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.94,0,47.8333,-69.5333,Quebec,20118
98,Cobourg,0.00,71.59,11.25,5.75,7.29,3.45,2.65,2.04,2.03,2.55,1.93,4.39,8.18,6.94,6.14,3.27,1.64,4.69,3.97,1.93,4.08,1.92,2.03,12.27,1.79,2.15,17.90,2.94,127.84,6.00,1.41,46.02,2.06,22881.27,22140.78,235.23,0.00,52.84,69.04,0.00,13.29,1431.90,27359.55,122.74,81.82,122.74,225.01,1942.61,3083.71,5812.49,2556.96,0.00,767.09,0.00,2.76,0,43.9667,-78.1667,Ontario,20519
99,Cranbrook,0.00,0.00,10.23,7.67,6.51,4.86,1.59,1.75,2.00,2.70,3.93,4.80,20.45,11.51,0.00,6.61,1.24,7.76,6.44,4.79,2.99,4.25,5.15,15.35,0.00,8.18,14.84,3.06,36.82,10.23,2.54,22.51,2.17,20967.13,22501.30,233.45,0.35,79.27,53.61,7.67,12.27,920.50,17390.44,76.37,79.10,125.11,139.78,1159.16,1125.06,2301.27,2198.99,0.00,0.00,3818.40,6.10,0,49.5097,-115.7667,British Columbia,20499
100,Salmon Arm,0.00,0.00,9.19,6.14,5.88,5.37,2.03,1.28,3.06,3.06,12.27,4.08,0.00,25.57,0.00,3.06,2.04,3.06,5.12,3.06,3.06,4.08,3.06,25.57,0.00,0.00,20.45,3.06,92.05,4.08,1.53,30.68,2.21,25569.66,25569.66,262.09,0.18,69.04,51.14,0.00,12.78,920.50,4091.15,63.76,40.92,102.27,102.27,1789.87,1789.87,2556.96,2556.96,0.00,0.00,0.00,2.76,0,50.7022,-119.2722,British Columbia,19432
101,Midland,0.00,0.00,12.27,6.14,8.18,4.08,2.04,2.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,44.75,-79.8833,Ontario,17817
